inputFiles	predictedValues
features_and_scores_qoes_uhdtv/exp3.csv	1.792860
features_and_scores_qoes_uhdtv/exp6.csv	5.000000
features_and_scores_qoes_uhdtv/exp10.csv	1.000000
features_and_scores_qoes_uhdtv/exp12.csv	1.000000
features_and_scores_qoes_uhdtv/exp14.csv	5.000000
features_and_scores_qoes_uhdtv/exp16.csv	4.286974
features_and_scores_qoes_uhdtv/exp20.csv	1.000000
features_and_scores_qoes_uhdtv/exp23.csv	5.000000
features_and_scores_qoes_uhdtv/exp28.csv	1.576301
features_and_scores_qoes_uhdtv/exp29.csv	1.000000
features_and_scores_qoes_uhdtv/exp37.csv	2.624587
features_and_scores_qoes_uhdtv/exp38.csv	1.000000
features_and_scores_qoes_uhdtv/exp51.csv	2.776932
features_and_scores_qoes_uhdtv/exp52.csv	3.371878
features_and_scores_qoes_uhdtv/exp53.csv	1.000000
features_and_scores_qoes_uhdtv/exp54.csv	4.892965
features_and_scores_qoes_uhdtv/exp55.csv	1.000000
features_and_scores_qoes_uhdtv/exp56.csv	1.000000
features_and_scores_qoes_uhdtv/exp60.csv	2.349514
features_and_scores_qoes_uhdtv/exp61.csv	3.420057
features_and_scores_qoes_uhdtv/exp68.csv	4.556696
features_and_scores_qoes_uhdtv/exp70.csv	3.582002
features_and_scores_qoes_uhdtv/exp73.csv	1.000000
features_and_scores_qoes_uhdtv/exp74.csv	1.000000
features_and_scores_qoes_uhdtv/exp75.csv	4.056464
features_and_scores_qoes_uhdtv/exp78.csv	2.828100
features_and_scores_qoes_uhdtv/exp80.csv	3.418283
features_and_scores_qoes_uhdtv/exp81.csv	4.867246
features_and_scores_qoes_uhdtv/exp84.csv	2.216995
features_and_scores_qoes_uhdtv/exp86.csv	5.000000
features_and_scores_qoes_uhdtv/exp88.csv	3.430468
features_and_scores_qoes_uhdtv/exp90.csv	5.000000
features_and_scores_qoes_uhdtv/exp97.csv	5.000000
features_and_scores_qoes_uhdtv/exp99.csv	5.000000
features_and_scores_qoes_uhdtv/exp103.csv	5.000000
features_and_scores_qoes_uhdtv/exp106.csv	5.000000
features_and_scores_qoes_uhdtv/exp112.csv	5.000000
features_and_scores_qoes_uhdtv/exp113.csv	5.000000
features_and_scores_qoes_uhdtv/exp115.csv	5.000000
features_and_scores_qoes_uhdtv/exp116.csv	5.000000
features_and_scores_qoes_uhdtv/exp117.csv	5.000000
features_and_scores_qoes_uhdtv/exp122.csv	5.000000
features_and_scores_qoes_uhdtv/exp126.csv	5.000000
features_and_scores_qoes_uhdtv/exp135.csv	4.667779
features_and_scores_qoes_uhdtv/exp142.csv	3.957549
features_and_scores_qoes_uhdtv/exp145.csv	4.619392
features_and_scores_qoes_uhdtv/exp148.csv	4.706842
features_and_scores_qoes_uhdtv/exp153.csv	4.979187
features_and_scores_qoes_uhdtv/exp156.csv	4.810665
features_and_scores_qoes_uhdtv/exp158.csv	5.000000
features_and_scores_qoes_uhdtv/exp160.csv	4.436222
features_and_scores_qoes_uhdtv/exp164.csv	4.241967
features_and_scores_qoes_uhdtv/exp165.csv	4.546439
features_and_scores_qoes_uhdtv/exp168.csv	3.704480
features_and_scores_qoes_uhdtv/exp176.csv	4.504059
features_and_scores_qoes_uhdtv/exp178.csv	4.163112
features_and_scores_qoes_uhdtv/exp179.csv	4.227660
features_and_scores_qoes_uhdtv/exp184.csv	5.000000
features_and_scores_qoes_uhdtv/exp187.csv	5.000000
features_and_scores_qoes_uhdtv/exp189.csv	5.000000
features_and_scores_qoes_uhdtv/exp190.csv	1.000000
features_and_scores_qoes_uhdtv/exp206.csv	1.000000
features_and_scores_qoes_uhdtv/exp210.csv	3.469296
features_and_scores_qoes_uhdtv/exp211.csv	5.000000
features_and_scores_qoes_uhdtv/exp219.csv	2.208129
features_and_scores_qoes_uhdtv/exp222.csv	3.933113
features_and_scores_qoes_uhdtv/exp224.csv	1.000000
features_and_scores_qoes_uhdtv/exp228.csv	1.000000
features_and_scores_qoes_uhdtv/exp229.csv	4.388100
features_and_scores_qoes_uhdtv/exp231.csv	3.152205
features_and_scores_qoes_uhdtv/exp236.csv	1.000000
features_and_scores_qoes_uhdtv/exp237.csv	1.000000
features_and_scores_qoes_uhdtv/exp238.csv	4.948195
features_and_scores_qoes_uhdtv/exp240.csv	2.658821
features_and_scores_qoes_uhdtv/exp245.csv	1.000000
features_and_scores_qoes_uhdtv/exp249.csv	3.190464
features_and_scores_qoes_uhdtv/exp253.csv	1.000000
features_and_scores_qoes_uhdtv/exp265.csv	5.000000
features_and_scores_qoes_uhdtv/exp269.csv	1.000000
features_and_scores_qoes_uhdtv/exp270.csv	5.000000
features_and_scores_qoes_uhdtv/exp271.csv	5.000000
features_and_scores_qoes_uhdtv/exp274.csv	5.000000
features_and_scores_qoes_uhdtv/exp277.csv	4.613475
features_and_scores_qoes_uhdtv/exp278.csv	2.749833
features_and_scores_qoes_uhdtv/exp280.csv	5.000000
features_and_scores_qoes_uhdtv/exp281.csv	5.000000
features_and_scores_qoes_uhdtv/exp286.csv	2.904047
features_and_scores_qoes_uhdtv/exp287.csv	2.031950
features_and_scores_qoes_uhdtv/exp292.csv	5.000000
features_and_scores_qoes_uhdtv/exp297.csv	5.000000
