inputFiles	predictedValues
features_and_scores_qoes_Rdos/exp6.csv	5.000000
features_and_scores_qoes_Rdos/exp9.csv	5.000000
features_and_scores_qoes_Rdos/exp10.csv	5.000000
features_and_scores_qoes_Rdos/exp15.csv	5.000000
features_and_scores_qoes_Rdos/exp16.csv	5.000000
features_and_scores_qoes_Rdos/exp18.csv	5.000000
features_and_scores_qoes_Rdos/exp19.csv	5.000000
features_and_scores_qoes_Rdos/exp22.csv	5.000000
features_and_scores_qoes_Rdos/exp24.csv	5.000000
features_and_scores_qoes_Rdos/exp25.csv	5.000000
features_and_scores_qoes_Rdos/exp30.csv	5.000000
features_and_scores_qoes_Rdos/exp33.csv	4.171561
features_and_scores_qoes_Rdos/exp37.csv	5.000000
features_and_scores_qoes_Rdos/exp38.csv	5.000000
features_and_scores_qoes_Rdos/exp42.csv	4.157686
features_and_scores_qoes_Rdos/exp45.csv	5.000000
features_and_scores_qoes_Rdos/exp46.csv	5.000000
features_and_scores_qoes_Rdos/exp55.csv	5.000000
features_and_scores_qoes_Rdos/exp60.csv	4.175242
features_and_scores_qoes_Rdos/exp66.csv	5.000000
features_and_scores_qoes_Rdos/exp67.csv	5.000000
features_and_scores_qoes_Rdos/exp68.csv	5.000000
features_and_scores_qoes_Rdos/exp73.csv	5.000000
features_and_scores_qoes_Rdos/exp75.csv	5.000000
features_and_scores_qoes_Rdos/exp77.csv	5.000000
features_and_scores_qoes_Rdos/exp79.csv	5.000000
features_and_scores_qoes_Rdos/exp82.csv	5.000000
features_and_scores_qoes_Rdos/exp86.csv	5.000000
features_and_scores_qoes_Rdos/exp90.csv	5.000000
features_and_scores_qoes_Rdos/exp93.csv	5.000000
features_and_scores_qoes_Rdos/exp97.csv	5.000000
features_and_scores_qoes_Rdos/exp101.csv	5.000000
features_and_scores_qoes_Rdos/exp104.csv	5.000000
features_and_scores_qoes_Rdos/exp109.csv	5.000000
features_and_scores_qoes_Rdos/exp112.csv	5.000000
features_and_scores_qoes_Rdos/exp113.csv	5.000000
features_and_scores_qoes_Rdos/exp115.csv	5.000000
features_and_scores_qoes_Rdos/exp116.csv	4.329887
features_and_scores_qoes_Rdos/exp118.csv	5.000000
features_and_scores_qoes_Rdos/exp119.csv	5.000000
features_and_scores_qoes_Rdos/exp120.csv	5.000000
features_and_scores_qoes_Rdos/exp125.csv	4.067841
features_and_scores_qoes_Rdos/exp127.csv	5.000000
features_and_scores_qoes_Rdos/exp137.csv	5.000000
features_and_scores_qoes_Rdos/exp142.csv	4.415525
features_and_scores_qoes_Rdos/exp144.csv	5.000000
features_and_scores_qoes_Rdos/exp146.csv	5.000000
features_and_scores_qoes_Rdos/exp148.csv	5.000000
features_and_scores_qoes_Rdos/exp152.csv	3.883775
features_and_scores_qoes_Rdos/exp154.csv	5.000000
features_and_scores_qoes_Rdos/exp158.csv	5.000000
features_and_scores_qoes_Rdos/exp165.csv	5.000000
features_and_scores_qoes_Rdos/exp170.csv	3.897494
features_and_scores_qoes_Rdos/exp180.csv	5.000000
features_and_scores_qoes_Rdos/exp182.csv	5.000000
features_and_scores_qoes_Rdos/exp183.csv	5.000000
features_and_scores_qoes_Rdos/exp184.csv	5.000000
features_and_scores_qoes_Rdos/exp185.csv	5.000000
features_and_scores_qoes_Rdos/exp194.csv	5.000000
features_and_scores_qoes_Rdos/exp195.csv	3.033491
features_and_scores_qoes_Rdos/exp196.csv	4.937476
features_and_scores_qoes_Rdos/exp197.csv	3.912248
features_and_scores_qoes_Rdos/exp199.csv	5.000000
features_and_scores_qoes_Rdos/exp200.csv	5.000000
features_and_scores_qoes_Rdos/exp208.csv	5.000000
features_and_scores_qoes_Rdos/exp209.csv	5.000000
features_and_scores_qoes_Rdos/exp216.csv	5.000000
features_and_scores_qoes_Rdos/exp221.csv	5.000000
features_and_scores_qoes_Rdos/exp224.csv	3.409140
features_and_scores_qoes_Rdos/exp225.csv	4.825710
features_and_scores_qoes_Rdos/exp226.csv	5.000000
features_and_scores_qoes_Rdos/exp227.csv	5.000000
features_and_scores_qoes_Rdos/exp232.csv	4.425593
features_and_scores_qoes_Rdos/exp233.csv	3.409140
features_and_scores_qoes_Rdos/exp244.csv	5.000000
features_and_scores_qoes_Rdos/exp247.csv	5.000000
features_and_scores_qoes_Rdos/exp250.csv	4.490713
features_and_scores_qoes_Rdos/exp252.csv	5.000000
features_and_scores_qoes_Rdos/exp253.csv	5.000000
features_and_scores_qoes_Rdos/exp266.csv	5.000000
features_and_scores_qoes_Rdos/exp268.csv	4.389742
