inputFiles	predictedValues
lstm2/exp0.csv	2.628673
lstm2/exp1.csv	2.569109
lstm2/exp2.csv	2.603832
lstm2/exp3.csv	2.599057
lstm2/exp4.csv	2.588111
lstm2/exp5.csv	2.576117
lstm2/exp6.csv	2.569020
lstm2/exp7.csv	2.568652
lstm2/exp8.csv	2.610885
lstm2/exp9.csv	2.613971
lstm2/exp10.csv	2.583650
lstm2/exp11.csv	2.570277
lstm2/exp12.csv	2.568831
lstm2/exp13.csv	2.567842
lstm2/exp14.csv	2.594533
lstm2/exp15.csv	2.599657
lstm2/exp16.csv	2.564200
lstm2/exp17.csv	2.662404
lstm2/exp18.csv	2.563975
lstm2/exp19.csv	2.571751
lstm2/exp20.csv	2.585956
lstm2/exp21.csv	2.578611
lstm2/exp22.csv	2.519199
lstm2/exp23.csv	2.627918
lstm2/exp24.csv	2.630764
lstm2/exp25.csv	2.706947
lstm2/exp26.csv	2.667790
lstm2/exp27.csv	2.704370
lstm2/exp28.csv	2.785966
lstm2/exp29.csv	2.679398
lstm2/exp30.csv	2.581478
lstm2/exp31.csv	2.577381
lstm2/exp32.csv	2.676843
lstm2/exp33.csv	2.572585
lstm2/exp34.csv	2.598460
lstm2/exp35.csv	2.634488
lstm2/exp36.csv	2.585888
lstm2/exp37.csv	2.564670
lstm2/exp38.csv	2.658688
lstm2/exp39.csv	2.494337
lstm2/exp40.csv	2.546812
lstm2/exp41.csv	2.568902
lstm2/exp42.csv	2.577976
lstm2/exp43.csv	2.567929
lstm2/exp44.csv	2.566036
lstm2/exp45.csv	2.422208
lstm2/exp46.csv	2.583954
lstm2/exp47.csv	2.552704
lstm2/exp48.csv	2.761710
lstm2/exp49.csv	2.565421
lstm2/exp50.csv	2.576484
lstm2/exp51.csv	2.552344
lstm2/exp52.csv	2.564276
lstm2/exp53.csv	2.568721
lstm2/exp54.csv	2.546658
lstm2/exp55.csv	2.549176
lstm2/exp56.csv	2.647694
lstm2/exp57.csv	2.568596
lstm2/exp58.csv	2.581316
lstm2/exp59.csv	2.661805
lstm2/exp60.csv	2.599439
lstm2/exp61.csv	2.568893
lstm2/exp62.csv	2.586464
lstm2/exp63.csv	2.571820
lstm2/exp64.csv	2.581742
lstm2/exp65.csv	2.582693
lstm2/exp66.csv	2.585605
lstm2/exp67.csv	2.572165
lstm2/exp68.csv	2.422946
lstm2/exp69.csv	2.509491
lstm2/exp70.csv	2.609918
lstm2/exp71.csv	2.554227
lstm2/exp72.csv	2.572905
lstm2/exp73.csv	2.581600
lstm2/exp74.csv	2.636716
lstm2/exp75.csv	2.572463
lstm2/exp76.csv	2.566763
lstm2/exp77.csv	2.666292
lstm2/exp78.csv	2.578420
lstm2/exp79.csv	2.578251
lstm2/exp80.csv	2.594510
lstm2/exp81.csv	2.661501
lstm2/exp82.csv	2.569000
lstm2/exp83.csv	2.565315
lstm2/exp84.csv	2.545357
lstm2/exp85.csv	2.569560
lstm2/exp86.csv	2.585390
lstm2/exp87.csv	2.561485
lstm2/exp88.csv	2.600450
lstm2/exp89.csv	2.566025
lstm2/exp90.csv	2.633245
lstm2/exp91.csv	2.569549
lstm2/exp92.csv	2.456789
lstm2/exp93.csv	2.573037
lstm2/exp94.csv	2.571998
lstm2/exp95.csv	2.472842
lstm2/exp96.csv	2.590674
lstm2/exp97.csv	2.577492
lstm2/exp98.csv	2.568966
lstm2/exp99.csv	2.558776
lstm2/exp100.csv	2.570612
lstm2/exp101.csv	2.560760
